patient,drug,dose,plate,half,n_rows,frac_untestable
ACH-000120,Berbamine (dihydrochloride),5.0,9,1,62710,0.6876255780577261
ACH-000120,Berberine (chloride hydrate),0.05,4,0,62710,0.707159942592888
ACH-000120,Berberine (chloride hydrate),0.5,5,0,62710,0.6983575187370435
ACH-000120,Berberine (chloride hydrate),5.0,14,0,62710,0.6981342688566416
ACH-000120,Berberine (chloride hydrate),5.0,6,1,62710,0.653420507096157
ACH-000120,Bergenin,0.05,4,0,62710,0.7023919630043055
ACH-000120,Bergenin,0.5,5,0,62710,0.703763355126774
ACH-000120,Bergenin,5.0,14,0,62710,0.7006538032211769
ACH-000120,Bergenin,5.0,6,1,62710,0.6663211608993781
ACH-000120,Bestatin,0.05,7,0,62710,0.7113379046404082
ACH-000120,Bestatin,0.5,8,0,62710,0.6310317333758572
ACH-000120,Bestatin,5.0,9,0,62710,0.6947217349704992
ACH-000120,Bestatin (hydrochloride),0.05,10,0,62710,0.6775155477595279
ACH-000120,Bestatin (hydrochloride),0.5,11,0,62710,0.6724924254504864
ACH-000120,Bestatin (hydrochloride),5.0,12,0,62710,0.6340456067612821
ACH-000120,Betamethasone dipropionate,0.05,7,0,62710,0.7171264551108276
ACH-000120,Betamethasone dipropionate,0.5,8,0,62710,0.652607239674693
ACH-000120,Betamethasone dipropionate,5.0,9,0,62710,0.7010046244618083
ACH-000120,Bexarotene,0.05,10,0,62710,0.6700685696061234
ACH-000120,Bexarotene,0.5,11,0,62710,0.6699091054058364
ACH-000120,Bexarotene,5.0,12,0,62710,0.6324190719183543
ACH-000120,Bicalutamide,0.05,10,0,62710,0.6567054696220699
ACH-000120,Bicalutamide,0.5,11,0,62710,0.6745335672141605
ACH-000120,Bicalutamide,5.0,12,0,62710,0.6151969382873544
ACH-000120,Bimatoprost,0.05,4,0,62710,0.6924892361664806
ACH-000120,Bimatoprost,0.5,5,0,62710,0.6964917875936852
ACH-000120,Bimatoprost,5.0,14,0,62710,0.6847392760325307
ACH-000120,Bimatoprost,5.0,6,1,62710,0.6679795885823633
ACH-000120,Bimiralisib,0.05,1,0,62710,0.6955190559719343
ACH-000120,Bimiralisib,0.5,2,0,62710,0.6703556051666401
ACH-000120,Bimiralisib,5.0,3,0,62710,0.7700047839260086
ACH-000120,Binimetinib,0.05,1,0,62710,0.7057726040503907
ACH-000120,Binimetinib,0.05,10,1,62710,0.6750119598150215
ACH-000120,Binimetinib,0.5,11,0,62710,0.6841811513315261
ACH-000120,Binimetinib,0.5,2,1,62710,0.6696699091054058
ACH-000120,Binimetinib,5.0,12,0,62710,0.6462765109232977
ACH-000120,Binimetinib,5.0,3,1,62710,0.7826662414287993
ACH-000120,Bisoprolol (hemifumarate),0.05,7,0,62710,0.7203795247966831
ACH-000120,Bisoprolol (hemifumarate),0.5,8,0,62710,0.6531015786955828
ACH-000120,Bisoprolol (hemifumarate),5.0,9,0,62710,0.7062031573911657
ACH-000120,Bortezomib,0.05,1,0,62710,0.7004943390208898
ACH-000120,Bortezomib,0.5,2,0,62710,0.6587306649657152
ACH-000120,Bortezomib,5.0,3,0,62710,0.7884707383192473
ACH-000120,Bosentan (hydrate),0.05,7,0,62710,0.7115133152607239
ACH-000120,Bosentan (hydrate),0.5,8,0,62710,0.6442513155796523
ACH-000120,Bosentan (hydrate),5.0,9,0,62710,0.711832243661298
ACH-000120,Brimonidine,0.05,10,0,62710,0.6719821400095678
ACH-000120,Brimonidine,0.5,11,0,62710,0.6847073831924733
ACH-000120,Brimonidine,5.0,12,0,62710,0.6339020889810237
ACH-000120,Brivudine,0.05,1,0,62710,0.693493860628289
ACH-000120,Brivudine,0.5,2,0,62710,0.6626215914527188
ACH-000120,Brivudine,5.0,3,0,62710,0.7339977675011959
ACH-000120,Budesonide,0.05,10,0,62710,0.6694785520650613
ACH-000120,Budesonide,0.5,11,0,62710,0.6749162812948493
ACH-000120,Budesonide,5.0,12,0,62710,0.6257375219263276
ACH-000120,Busulfan,0.05,4,0,62710,0.6996651251793973
ACH-000120,Busulfan,0.5,5,0,62710,0.6960452878328816
ACH-000120,Busulfan,5.0,14,0,62710,0.7035241588263434
ACH-000120,Busulfan,5.0,6,1,62710,0.6768298516982937
ACH-000120,CP21R7,0.05,1,0,62710,0.689188327220539
ACH-000120,CP21R7,0.5,2,0,62710,0.6625418593525754
