patient,drug,dose,n_gene_doses,var_lfc_mean,mean_se2_mean,sigma2_plate_pooled,between_plate_fraction_pooled,n_responder_gene_doses,var_lfc_mean_responders,mean_se2_mean_responders,sigma2_plate_pooled_responders,between_plate_fraction_pooled_responders,n_nonresponder_gene_doses,var_lfc_mean_nonresponders,mean_se2_mean_nonresponders,sigma2_plate_pooled_nonresponders,between_plate_fraction_pooled_nonresponders
ACH-001333,Topotecan (hydrochloride),0.5,22460,1.316472,2.709255,0.0,0.0,102,0.5696,0.023806,0.545795,0.958206,22358,1.319879,2.721507,0.0,0.0
ACH-001333,Topotecan (hydrochloride),5.0,19019,1.507839,3.100434,0.0,0.0,256,1.545685,0.261959,1.283725,0.830522,18763,1.507322,3.139162,0.0,0.0
ACH-001333,Trametinib,0.05,22127,1.16415,2.808724,0.0,0.0,958,0.607202,0.183892,0.423309,0.697148,21169,1.189354,2.92751,0.0,0.0
ACH-001333,Trametinib,0.5,21699,1.187439,2.854711,0.0,0.0,563,0.519674,0.089193,0.430481,0.828368,21136,1.205226,2.928377,0.0,0.0
ACH-001333,Trametinib,5.0,21514,1.358672,2.692155,0.0,0.0,2352,0.475294,0.211452,0.263843,0.555114,19162,1.4671,2.996644,0.0,0.0
ACH-001333,Triamcinolone,5.0,22998,1.203317,2.70901,0.0,0.0,464,0.388411,0.097714,0.290697,0.748425,22534,1.220097,2.76278,0.0,0.0
ACH-001333,Triclosan,5.0,22999,1.167368,2.680662,0.0,0.0,99,0.306137,0.060048,0.246089,0.803854,22900,1.171091,2.691991,0.0,0.0
ACH-001333,Trifluridine,5.0,22257,1.149927,2.704348,0.0,0.0,158,0.119621,0.026128,0.093493,0.781575,22099,1.157294,2.723496,0.0,0.0
ACH-001333,Trimetrexate,5.0,22300,1.170924,2.779581,0.0,0.0,110,0.546182,0.100668,0.445514,0.815687,22190,1.174021,2.792861,0.0,0.0
ACH-001333,Tucidinostat,5.0,23189,1.314611,2.726375,0.0,0.0,570,0.491686,0.165928,0.325758,0.662533,22619,1.335349,2.790898,0.0,0.0
ACH-001333,Vilanterol,5.0,22485,1.172828,2.784235,0.0,0.0,147,0.155972,0.038384,0.117588,0.753903,22338,1.179519,2.802305,0.0,0.0
ACH-001333,Vinblastine (sulfate),5.0,22495,1.183218,2.731245,0.0,0.0,120,0.178926,0.035548,0.143378,0.801323,22375,1.188604,2.745702,0.0,0.0
ACH-001333,c-Kit-IN-1,0.05,21611,5.929295,3.281379,2.647916,0.446582,125,8.956593,1.067103,7.88949,0.880858,21486,5.911683,3.294261,2.617422,0.442754
